City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Qaanaaq,77.48,-69.36,-1.85,85,0,3,GL,1602773503
Dikson,73.51,80.55,-0.78,93,100,11.93,RU,1602773504
Tirat Karmel,32.76,34.97,26.6,65,40,5.1,IL,1602773504
Masindi,1.67,31.71,22.14,84,69,0.21,UG,1602773505
Itarema,-2.92,-39.92,31.55,53,3,8.68,BR,1602773505
Ushuaia,-54.8,-68.3,13,37,40,4.6,AR,1602773505
Longyearbyen,78.22,15.64,-2,92,90,1,SJ,1602773505
Port Elizabeth,-33.92,25.57,19,82,75,10.8,ZA,1602773506
Touros,-5.2,-35.46,31,55,75,7.7,BR,1602773506
Iqaluit,63.75,-68.51,2,93,90,2.6,CA,1602773506
Hermanus,-34.42,19.23,20,67,21,1.79,ZA,1602773507
Vardo,70.37,31.11,4,93,75,5.1,NO,1602773507
Albany,42.6,-73.97,17.18,52,24,6.29,US,1602773508
Porto Novo,6.5,2.6,30,79,40,6.7,BJ,1602773508
Senneterre,48.38,-77.23,10,87,90,4.6,CA,1602773509
Jamestown,42.1,-79.24,17.09,63,1,6.7,US,1602773509
Goderich,43.75,-81.72,12.78,75,100,11.55,CA,1602773509
Cap Malheureux,-19.98,57.61,24.44,72,2,2.24,MU,1602773510
Clyde River,70.47,-68.59,0,98,90,5.1,CA,1602773510
Bredasdorp,-34.53,20.04,20,60,20,5.1,ZA,1602773510
Comodoro Rivadavia,-45.87,-67.5,20,30,82,9.8,AR,1602773511
Kudahuvadhoo,2.67,72.89,28.2,78,58,8.63,MV,1602773511
Geraldton,-28.77,114.6,18,77,90,7.2,AU,1602773366
Arraial Do Cabo,-22.97,-42.03,26,78,40,7.7,BR,1602773512
Narsaq,60.92,-46.05,2,74,75,1,GL,1602773512
Upernavik,72.79,-56.15,-1.7,87,6,2.54,GL,1602773512
Ribeira Grande,38.52,-28.7,23,78,40,2.6,PT,1602773513
Busselton,-33.65,115.33,10.93,57,93,5.8,AU,1602773513
Athboy,53.62,-6.92,11.41,66,75,3.6,IE,1602773513
Lagoa,39.05,-27.98,20.77,81,100,3.03,PT,1602773514
Tiznit,29.58,-9.5,24.51,27,0,4.83,MA,1602773514
Carutapera,-1.2,-46.02,31.5,54,68,5.33,BR,1602773514
Saint-Philippe,-21.36,55.77,21.89,78,22,5.7,RE,1602773514
Sioux Lookout,50.1,-91.92,-1,58,40,4.6,CA,1602773515
Grand Gaube,-20.01,57.66,24.44,72,1,2.24,MU,1602773515
Hofn,64.25,-15.21,10,66,75,1.5,IS,1602773515
Marau,-28.45,-52.2,23.67,42,70,4.01,BR,1602773516
Formosa Do Rio Preto,-11.05,-45.19,37.87,14,32,3.17,BR,1602773516
Cape Town,-33.93,18.42,19.55,59,29,9.8,ZA,1602773406
Port Alfred,-33.59,26.89,20.65,71,0,10.04,ZA,1602773516
Conceicao Do Araguaia,-8.26,-49.26,39.9,21,35,1.65,BR,1602773517
Kruisfontein,-34,24.73,20.56,76,0,3.58,ZA,1602773517
At-Bashi,41.17,75.81,5.28,61,2,3.21,KG,1602773517
Jackson,42.42,-122.83,5.87,81,1,0.85,US,1602773518
Rudbar,30.15,62.6,17.25,25,0,2.69,AF,1602773518
Akil,20.25,-89.35,27.99,62,3,1.26,MX,1602773518
Omboue,-1.57,9.26,26.15,73,64,5.4,GA,1602773519
Sheltozero,61.37,35.37,5.3,74,84,4.89,RU,1602773519
Roald,62.58,6.13,8.32,76,75,5.1,NO,1602773519
Altinho,-8.49,-36.06,31.64,38,51,6,BR,1602773519
Cidreira,-30.18,-50.21,19.45,73,97,3.04,BR,1602773520
Olafsvik,64.89,-23.71,8.66,71,72,4.8,IS,1602773520
Vila Velha,-20.33,-40.29,26.26,83,75,5.7,BR,1602773520
Mehamn,71.04,27.85,4.3,79,100,4.08,NO,1602773521
East London,-33.02,27.91,20,77,20,9.3,ZA,1602773521
Aleksandrov Gay,50.15,48.57,17.91,28,100,5.93,RU,1602773521
Booue,-0.09,11.94,29.38,68,67,1.53,GA,1602773522
Iralaya,15,-83.23,29.79,67,24,1.83,HN,1602773522
Ponta Do Sol,32.67,-17.1,21.61,64,40,5.7,PT,1602773522
Punta Arenas,-53.15,-70.92,12,50,20,16.5,CL,1602773522
Kalamnuri,19.67,77.33,23.5,94,83,2.24,IN,1602773523
Palencia,42.42,-4.5,11.7,51,82,3.13,ES,1602773523
Hithadhoo,-0.6,73.08,28.27,76,28,7.65,MV,1602773523
Areka,7.07,37.7,19.28,78,58,1.17,ET,1602773524
Yar-Sale,66.83,70.83,-0.28,93,48,6.12,RU,1602773524
Mahon,39.89,4.27,18,55,40,2.1,ES,1602773525
Aden,12.78,45.04,29.85,63,0,2.17,YE,1602773267
Cayenne,4.93,-52.33,32,55,40,4.1,GF,1602773457
Ambilobe,-13.2,49.05,26.35,68,87,1.05,MG,1602773526
Mahebourg,-20.41,57.7,25,73,40,3.6,MU,1602773526
Janoshaza,47.12,17.16,8.26,100,90,2.1,HU,1602773526
Ostrovnoy,68.05,39.51,3.46,81,100,4.75,RU,1602773527
Finote Selam,10.7,37.27,17.16,86,81,0.63,ET,1602773527
Saint George,37.1,-113.58,17.42,33,1,2.1,US,1602773527
Victoria,22.29,114.16,24.37,78,98,2.24,HK,1602773339
Kavaratti,10.57,72.64,27.46,80,33,9.59,IN,1602773528
Caravelas,-17.71,-39.25,29.46,60,55,5.04,BR,1602773528
Asifabad,19.37,79.28,25.45,89,100,1.02,IN,1602773528
Mugur-Aksy,50.35,90.5,-2.55,78,100,2.62,RU,1602773529
Sao Filipe,14.9,-24.5,28.79,70,100,3.98,CV,1602773529
Cortona,43.27,11.99,12.2,89,100,1.89,IT,1602773529
Tasiilaq,65.61,-37.64,6,70,75,7.2,GL,1602773529
Nevsehir,38.92,34.67,25,31,0,3.6,TR,1602773530
Arinos,-15.92,-46.11,38.59,22,4,1.13,BR,1602773530
Sinnamary,5.38,-52.95,30.92,60,3,5.49,GF,1602773530
Kavarskas,55.43,24.92,8,82,63,2.32,LT,1602773530
Tamandare,-8.76,-35.1,28.11,64,74,5.44,BR,1602773531
Mar Del Plata,-38,-57.56,15,67,0,5.1,AR,1602773531
Coquimbo,-29.95,-71.34,14,82,75,6.2,CL,1602773531
Carbonia,39.17,8.52,18.81,55,75,7.2,IT,1602773532
Qasigiannguit,68.82,-51.19,2,43,75,6.7,GL,1602773532
Viedma,-40.81,-63,20.56,32,0,2.68,AR,1602773532
Bambous Virieux,-20.34,57.76,24.73,73,40,3.6,MU,1602773533
Bubaque,11.28,-15.83,28.15,71,38,1.94,GW,1602773533
Gardiner,44.23,-69.78,14.62,66,1,3.1,US,1602773533
Chuy,-33.7,-53.46,19.54,70,0,3.71,UY,1602773533
Toguchin,55.24,84.39,7.2,90,100,4.57,RU,1602773534
Mana,5.66,-53.78,31.06,60,0,4.72,GF,1602773534
San Andres,12.58,-81.7,30,74,40,3.6,CO,1602773534
Luderitz,-26.65,15.16,24.38,37,0,8.7,NA,1602773535
Stykkisholmur,65.08,-22.73,8.59,67,0,0.91,IS,1602773535
Marquette,46.53,-87.63,4.43,76,100,4.47,US,1602773535
Georgetown,5.41,100.34,28.47,79,20,2.1,MY,1602773477
Verkhnyaya Inta,65.98,60.31,-0.51,95,100,5.35,RU,1602773536
Ustrzyki Dolne,49.43,22.59,6.67,82,68,1.79,PL,1602773537
Sao Bento,-6.28,-37.75,35.25,21,34,4.52,BR,1602773537
Belmonte,-15.86,-38.88,29,51,20,6.7,BR,1602773537
Santa Cruz,-17.8,-63.17,30.38,45,75,6.7,BO,1602773538
Coihaique,-45.58,-72.07,14,44,20,3.6,CL,1602773492
Bengkulu,-3.8,102.27,25.39,85,53,1.96,ID,1602773538
Urucara,-2.54,-57.76,36.03,38,1,2.76,BR,1602773539
Antofagasta,-23.65,-70.4,16,67,40,3.6,CL,1602773539
Strezhevoy,60.73,77.59,0,94,0,2,RU,1602773539
Arys,42.43,68.8,17,25,0,5,KZ,1602773539
Saint-Francois,46.42,3.91,9.2,81,90,4.6,FR,1602773540
Souillac,-20.52,57.52,25,73,40,3.6,MU,1602773540
